,Product Name,Prices,Description,Review
528,"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹10,240",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
529,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹20,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
530,"SAMSUNG 8 kg 5 star, Ecobubble, Super Speed, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing...","₹22,490",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 20 Years Warranty on DIT Motor,
531,"SAMSUNG 8 kg 5 Star, AI, Wi-Fi,Digital Inverter Fully Automatic Front Load Washing Machine with In-bui...","₹31,990","1400 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",
532,Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,"₹27,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,
533,"Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹11,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
534,"Thomson 7 kg Semi Automatic Top Load Washing Machine Blue, White","₹7,590",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,
535,"realme TechLife 8 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Black","₹9,990",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,
536,"SAMSUNG 7 kg 5 star, Ecobubble, Super Speed, Digital Inverter Fully Automatic Top Load Washing Machine...","₹18,990","700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",
537,"SAMSUNG 6.5 kg 5 star,Air Turbo Drying Semi Automatic Top Load Washing Machine Blue, Grey","₹9,990",1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,
538,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹21,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
539,realme TechLife 6 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹18,990",1000 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
540,BOSCH 6.5 kg 5 Star With Vario Drum & Anti Tangle Program Fully Automatic Top Load Washing Machine Gre...,"₹18,490",680 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,
541,"SAMSUNG 6 kg Inverter, 5 star, Hygiene Steam,Digital Inverter Fully Automatic Front Load Washing Machi...","₹24,890","1000 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",
